Driver,LapNumber,Compound,TyreLife,LapTime,PitInTime,PitOutTime,Position,Team,LapTimeSec,Pitted,Year,RaceName,TotalLaps,RollingAvgLapTime,LapTimeDelta,DegRate,DegAccel,TyreHealthPct,PaceLoss,StintLength,LapsRemaining,RaceProgress,CompoundCode,InPitWindow,PitLabel
ALO,20,HARD,6,0 days 00:01:38.318000,,,6.0,Aston Martin,98.318,0,2023,Bahrain,57.0,98.26766666666667,-0.043000000000006366,-0.043000000000006366,-0.28000000000001535,88.0,2.161999999999992,6,37.0,0.3508771929824561,2,1,STAY_OUT
ALO,21,HARD,7,0 days 00:01:38.407000,,,6.0,Aston Martin,98.407,0,2023,Bahrain,57.0,98.36200000000001,0.08899999999999864,0.08899999999999864,0.132000000000005,86.0,2.2509999999999906,7,36.0,0.3684210526315789,2,1,STAY_OUT
ALO,22,HARD,8,0 days 00:01:38.200000,,,6.0,Aston Martin,98.2,0,2023,Bahrain,57.0,98.30833333333334,-0.20699999999999363,-0.20699999999999363,-0.29599999999999227,84.0,2.043999999999997,8,35.0,0.38596491228070173,2,1,STAY_OUT
ALO,23,HARD,9,0 days 00:01:37.853000,,,6.0,Aston Martin,97.853,0,2023,Bahrain,57.0,98.15333333333332,-0.3470000000000084,-0.3470000000000084,-0.14000000000001478,82.0,1.6969999999999885,9,34.0,0.40350877192982454,2,1,STAY_OUT
ALO,24,HARD,10,0 days 00:01:37.878000,,,6.0,Aston Martin,97.878,0,2023,Bahrain,57.0,97.97700000000002,0.025000000000005684,0.025000000000005684,0.3720000000000141,80.0,1.7219999999999942,10,33.0,0.42105263157894735,2,1,STAY_OUT
ALO,25,HARD,11,0 days 00:01:38.139000,,,6.0,Aston Martin,98.139,0,2023,Bahrain,57.0,97.95666666666666,0.2609999999999957,0.2609999999999957,0.23599999999999,78.0,1.9829999999999899,11,32.0,0.43859649122807015,2,1,STAY_OUT
ALO,26,HARD,12,0 days 00:01:38.127000,,,6.0,Aston Martin,98.127,0,2023,Bahrain,57.0,98.048,-0.012000000000000455,-0.012000000000000455,-0.27299999999999613,76.0,1.9709999999999894,12,31.0,0.45614035087719296,2,0,STAY_OUT
ALO,27,HARD,13,0 days 00:01:38.612000,,,6.0,Aston Martin,98.612,0,2023,Bahrain,57.0,98.29266666666666,0.48499999999999943,0.48499999999999943,0.4969999999999999,74.0,2.455999999999989,13,30.0,0.47368421052631576,2,0,STAY_OUT
ALO,28,HARD,14,0 days 00:01:38.199000,,,6.0,Aston Martin,98.199,0,2023,Bahrain,57.0,98.31266666666666,-0.4129999999999967,-0.4129999999999967,-0.8979999999999961,72.0,2.042999999999992,14,29.0,0.49122807017543857,2,0,STAY_OUT
ALO,29,HARD,15,0 days 00:01:38.585000,,,6.0,Aston Martin,98.585,0,2023,Bahrain,57.0,98.46533333333332,0.3859999999999957,0.3859999999999957,0.7989999999999924,70.0,2.428999999999988,15,28.0,0.5087719298245614,2,0,STAY_OUT
ALO,30,HARD,16,0 days 00:01:38.282000,,,5.0,Aston Martin,98.282,0,2023,Bahrain,57.0,98.35533333333332,-0.30299999999999727,-0.30299999999999727,-0.688999999999993,68.0,2.1259999999999906,16,27.0,0.5263157894736842,2,0,STAY_OUT
ALO,31,HARD,17,0 days 00:01:38.009000,,,5.0,Aston Martin,98.009,0,2023,Bahrain,57.0,98.29199999999999,-0.27299999999999613,-0.27299999999999613,0.030000000000001137,66.0,1.8529999999999944,17,26.0,0.543859649122807,2,0,PIT_SOON
ALO,32,HARD,18,0 days 00:01:37.871000,,,4.0,Aston Martin,97.871,0,2023,Bahrain,57.0,98.05399999999999,-0.13800000000000523,-0.13800000000000523,0.1349999999999909,64.0,1.7149999999999892,18,25.0,0.5614035087719298,2,1,PIT_SOON
ALO,33,HARD,19,0 days 00:01:37.769000,,,4.0,Aston Martin,97.769,0,2023,Bahrain,57.0,97.883,-0.10199999999998965,-0.10199999999998965,0.036000000000015575,62.0,1.6129999999999995,19,24.0,0.5789473684210527,2,1,PIT_SOON
ALO,34,HARD,20,0 days 00:01:40.353000,0 days 01:59:07.809000,,3.0,Aston Martin,100.353,1,2023,Bahrain,57.0,98.66433333333333,2.583999999999989,2.583999999999989,2.6859999999999786,60.0,4.1969999999999885,20,23.0,0.5964912280701754,2,1,PIT_NOW
ALO,35,HARD,1,0 days 00:01:57.389000,,0 days 01:59:32.653000,6.0,Aston Martin,117.389,0,2023,Bahrain,57.0,105.17033333333335,17.036,17.036,14.452000000000012,98.0,21.23299999999999,1,22.0,0.6140350877192983,2,1,STAY_OUT
ALO,36,HARD,2,0 days 00:01:36.156000,,,6.0,Aston Martin,96.156,0,2023,Bahrain,57.0,104.63266666666668,-21.23299999999999,-21.23299999999999,-38.26899999999999,96.0,0.0,2,21.0,0.631578947368421,2,1,STAY_OUT
ALO,37,HARD,3,0 days 00:01:37.431000,,,6.0,Aston Martin,97.431,0,2023,Bahrain,57.0,103.65866666666666,1.2749999999999915,1.2749999999999915,22.50799999999998,94.0,1.2749999999999915,3,20.0,0.6491228070175439,2,1,STAY_OUT
ALO,38,HARD,4,0 days 00:01:37.002000,,,5.0,Aston Martin,97.002,0,2023,Bahrain,57.0,96.863,-0.42900000000000205,-0.42900000000000205,-1.7039999999999935,92.0,0.8459999999999894,4,19.0,0.6666666666666666,2,1,STAY_OUT
ALO,39,HARD,5,0 days 00:01:37.243000,,,5.0,Aston Martin,97.243,0,2023,Bahrain,57.0,97.22533333333332,0.24099999999999966,0.24099999999999966,0.6700000000000017,90.0,1.086999999999989,5,18.0,0.6842105263157895,2,1,STAY_OUT
ALO,40,HARD,6,0 days 00:01:37.208000,,,4.0,Aston Martin,97.208,0,2023,Bahrain,57.0,97.151,-0.03499999999999659,-0.03499999999999659,-0.27599999999999625,88.0,1.0519999999999925,6,17.0,0.7017543859649122,2,1,STAY_OUT
ALO,41,HARD,7,0 days 00:02:06.713000,,,4.0,Aston Martin,126.713,0,2023,Bahrain,57.0,107.05466666666666,29.504999999999995,29.504999999999995,29.539999999999992,86.0,30.556999999999988,7,16.0,0.7192982456140351,2,1,STAY_OUT
ALO,42,HARD,8,0 days 00:01:36.334000,,,4.0,Aston Martin,96.334,0,2023,Bahrain,57.0,106.75166666666667,-30.37899999999999,-30.37899999999999,-59.883999999999986,84.0,0.17799999999999727,8,15.0,0.7368421052631579,2,1,STAY_OUT
ALO,43,HARD,9,0 days 00:01:36.911000,,,4.0,Aston Martin,96.911,0,2023,Bahrain,57.0,106.65266666666668,0.5769999999999982,0.5769999999999982,30.95599999999999,82.0,0.7549999999999955,9,14.0,0.7543859649122807,2,0,STAY_OUT
ALO,44,HARD,10,0 days 00:01:37.022000,,,4.0,Aston Martin,97.022,0,2023,Bahrain,57.0,96.75566666666667,0.1110000000000042,0.1110000000000042,-0.465999999999994,80.0,0.8659999999999997,10,13.0,0.7719298245614035,2,0,STAY_OUT
ALO,45,HARD,11,0 days 00:01:37.931000,,,3.0,Aston Martin,97.931,0,2023,Bahrain,57.0,97.288,0.9089999999999918,0.9089999999999918,0.7979999999999876,78.0,1.7749999999999915,11,12.0,0.7894736842105263,2,0,STAY_OUT
ALO,46,HARD,12,0 days 00:01:37.087000,,,3.0,Aston Martin,97.087,0,2023,Bahrain,57.0,97.34666666666665,-0.8439999999999941,-0.8439999999999941,-1.752999999999986,76.0,0.9309999999999974,12,11.0,0.8070175438596491,2,0,STAY_OUT
